通信前置角色健康,通信前置当前连接数/最大连接数,通信前置长连接数,采集前置角色健康,终端在线率,采集成功率,cpu使用率,磁盘使用率,HDFS存储使用率,交换空间（swap使用率）,磁盘内存使用率,cpu平均负载,磁盘使用量,yarn运行状态,zookeeper运行状态,HDFS运行状态,kafka运行状态,重点kafka监测（超出阈值明细）,kafka消息堆积量,kafka消费延迟,hive小文件占比,电能示值曲线完整率,功率因数曲线完整率,采集覆盖率,电流完整率,电压完整率,数据一致性校验结果,Mysql运行状态,mysql连接数/最大连接数,mysql慢sql数,oracle运行状态,oracle连接数/最大连接数,oracle慢sql数,an1101-an1102的任务状态,spark重点计算应用（成功/总数）,flink重点计算应用（成功/总数）,label,label_name
69.81617140197451,53.60963663441204,30.952761628632775,81.37950197069486,68.47311725538793,16.26169393448913,91.09271844938425,82.2537242923169,94.9799913291924,72.571950838836,61.34151959357899,41.82430362906189,93.27284833540132,86.60638895004084,4.521867010618941,2.6366974497252005,37.64633668780496,81.0553330781833,98.72761293149445,15.041689110352818,59.41307153521351,38.08908566310215,96.99143978146031,84.21189231357087,83.83287047111378,46.86931597949703,41.48195023376652,27.340707193070624,5.6375496650927115,86.47223762550531,81.29010091300776,99.97176732861305,99.66368370739053,55.543170560262745,76.89874151805105,94.47657298824281,6,调控管理异常
84.96473906774115,24.734810174319765,45.05441353100935,12.915941515149498,95.40510272587224,60.617463445088006,22.864280550346272,67.17006844058567,61.81282404578958,35.81627180328405,11.355759219962902,67.15731955927996,52.03077009037933,77.23183917356393,52.01635011119934,85.21815003185401,55.190683877448556,56.093797153538624,87.66536026583451,40.3482866212397,13.401522845064074,2.8782676313338973,75.5137255673619,62.03095513534647,70.40797680992236,21.296416150891073,13.637147558676975,1.4544665667881929,35.058755880659696,58.991768685463306,39.22440450997323,43.747492202372904,90.41586944937484,34.82554670233004,51.39894891598108,78.3653012741143,3,消息队列异常
39.65427823212701,62.20867002278735,86.23637087467452,94.9520623657642,14.707348092903793,92.65876251614944,49.21162930795382,25.824438829895836,45.913575623826134,98.0032575285477,49.26180939928696,32.875161028750824,63.34008543167258,24.014561877819308,7.586332810866391,12.887972191064922,12.804583895777244,15.190269351229436,13.882717264941014,64.08747448032146,18.188008439914483,34.56672833238632,89.67884099060119,47.39616402628724,66.75577385210272,17.231987120162984,19.228901880867078,4.086861626647886,16.893506307216455,27.85903390319586,17.70104842767468,8.87025337570556,12.06358711006008,46.077876803272574,20.63337184057925,36.42698610480755,4,数据路由异常
50.34172708548569,69.03948286293652,3.9312139841098936,79.94103989090426,62.79003894909078,8.17590319488719,87.35786241067773,92.08724005318132,6.107795985486375,27.687764814720374,80.62012797930613,74.82596903836584,18.45210193563773,20.93493233367103,37.0472102791382,48.45229851910213,61.825477153029595,36.891363956977244,46.25347161331479,74.74709381337566,3.66832028905979,25.243694434402077,71.33495858845524,89.52068376871993,51.167744211566614,53.211348526531566,10.717201133977605,44.741236682345466,53.261726645502314,24.247050363472965,26.924323094938096,37.728416310462265,2.007119777772637,32.20791655831783,21.144800699654464,32.74973521779147,6,调控管理异常
11.976213181925122,89.0527280739895,59.359245355404866,67.91023191444896,78.91712386073382,49.84421989290573,8.69202880874237,53.71065418185478,58.68411180208791,74.54394741843299,43.16595462296794,12.758030279556376,28.377590579872447,36.30822963986351,64.59172413316013,57.077830466891186,35.60967258978462,98.65152487929797,60.577481935688716,23.72267917359945,10.178247262040374,15.285913918433202,24.595772838450813,16.06813732595557,18.656702405130577,28.50951686938471,17.33735952947548,89.67654246264252,8.023374566164222,52.451138957025464,41.03968269896615,98.23786169086064,11.203890216805235,39.785559904574164,96.94704332753689,86.55071258939803,2,采集前置异常
81.707207094928,25.790282704493983,17.088758739006582,66.8643219924431,92.93759891275857,55.67628930139298,57.161268946989985,27.997909366028416,76.94929331919369,18.704374855752338,32.367923640424365,42.54364386164168,50.7610378684455,24.240973241508023,11.483682473920354,61.06200424416326,28.863055324025577,58.123822142261226,15.436271527420232,48.114010185481746,53.258943255158584,5.182353682242691,33.660427819392055,13.441467693897424,6.337497047276774,98.99602323899452,32.235384497472296,80.98744458546349,25.464065476376383,68.15027222239293,76.02278598896865,59.56387406078443,47.15761885501584,41.18409141472685,34.88682665429953,92.95291442478259,7,数据库异常
83.06194077877291,96.50269106665125,12.429722348554472,73.08674752036443,93.83404568210378,18.123306616566015,6.6496267366777495,74.11206492900591,57.44731131799119,84.1828776758272,13.97723766262895,79.52673118598902,20.162732004774455,16.36559428657045,16.426579793099293,81.45747202313821,66.51972206962002,52.30654247691193,35.88304841235025,87.72005408131082,39.244510742263536,81.65994394715771,43.91349085702184,37.69444294249076,46.26797856696064,30.13778741641421,74.76093801762511,50.27203900924791,23.22126951468173,89.95745732745685,38.38912213732114,54.35528611139886,90.6472110964547,62.42379959139921,11.689804070836407,93.98321236134751,4,数据路由异常
62.770805307141785,33.49056146570861,13.927207266338726,79.4025189270296,62.00727559285135,53.34610919763215,89.38925830509577,78.85972112245308,15.167487973275119,31.172206779554823,24.848913981446575,74.3946292572677,3.353243473577938,56.98896848713165,76.24586857406905,87.67656367617495,34.20817487159075,82.12573046720128,11.063173695520723,84.64522917345182,12.748866233198243,39.72872905603673,79.72953657795536,14.991742734877377,22.92513952326415,72.22525683930662,72.00365365460743,64.11476328852973,69.39484444671,54.27244433475962,25.179905890695274,34.56959935039195,18.159771680142565,90.84505613336283,58.339179476612046,40.08514167636399,4,数据路由异常
46.20058036441327,94.72833396118153,15.33514031160802,58.62298320167972,50.5888678884466,61.14542354346478,1.8110183820840509,87.21239089441515,93.21182824836124,56.51331835892089,69.66508238768922,92.24993811772957,70.72386343133986,15.253904291426135,57.62883601668132,60.67150463828559,42.4130671302386,73.64442356247228,93.43670147690149,92.55685129067763,45.08393714041321,11.323804584075525,98.48411989623345,83.88980864459342,12.466268120326685,92.08418826173724,86.98963620621282,51.88380571260721,59.127543574492925,39.90027038701302,5.476163882203133,33.519724164590095,80.28534485980114,0.4632023004602859,33.34991716911442,39.81686935909433,6,调控管理异常
53.73956029379229,91.98556164127605,34.634599436596126,34.69532018962277,73.75012481097484,45.221794088980715,22.460482293998197,45.24395161326934,14.085702037979985,17.63869865062233,49.83677727394797,41.89254495045479,91.48459010681,36.23938991166331,58.05883502780434,63.22642879195304,1.3094456588333636,66.35373720167107,17.803596686975144,96.10703174694551,14.866272775311295,41.462412372702374,8.534966807864386,99.68742518459473,50.21950103312426,59.53850173200438,6.7076477388427485,74.99604703991778,20.990559309558577,89.80542894407138,20.513964048200716,19.068772066366655,3.654966784809488,47.206694510999924,56.48411332626164,6.570863942835237,1,通信前置异常
