meter_id,MFR,WIRE_MODE,RUN_YEARS,COMM_TIME_LOC,RUN_STATUS,TEMP_AVG,TEMP_STD,TEMP_ERR_RATE,TEMP_AVG_7D,TEMP_STD_7D,ME_CLOCK_DEVIATION_30D,OFFSET_TIME,UNCAP_30D,OUTAGE_30D,IS_FLY,IS_REVERSE,IS_REVERSE_CREEP,RATE_IMBALANCE_30D_FLAG,CLOCK_BATTERY_FLAG,IS_OVERCURRENT_A,OVERCURRENT_7D_NUM_A,OVERCURRENT_14D_NUM_A,OVERCURRENT_30D_NUM_A,IS_OVERVOLTAGE_A,OVERVOLTAGE_7D_NUM_A,OVERVOLTAGE_14D_NUM_A,OVERVOLTAGE_30D_NUM_A,current_rate,voltage_rate,power_factor_rate,COLL_FAIL_IA_7D,COLL_FAIL_IB_7D,COLL_FAIL_IC_7D,COLL_FAIL_UA_7D,COLL_FAIL_UB_7D,COLL_FAIL_UC_7D,COLL_FAIL_PFA_7D,COLL_FAIL_PFB_7D,COLL_FAIL_PFC_7D,COLL_COMPLETE_IA,COLL_COMPLETE_IB,COLL_COMPLETE_IC,COLL_COMPLETE_IA_7D,COLL_COMPLETE_IB_7D,COLL_COMPLETE_IC_7D,COLL_COMPLETE_IA_14D,COLL_COMPLETE_IB_14D,COLL_COMPLETE_IC_14D,COLL_COMPLETE_UA,COLL_COMPLETE_UB,COLL_COMPLETE_UC,COLL_COMPLETE_UA_7D,COLL_COMPLETE_UB_7D,COLL_COMPLETE_UC_7D,COLL_COMPLETE_UA_14D,COLL_COMPLETE_UB_14D,COLL_COMPLETE_UC_14D,COLL_COMPLETE_PFA,COLL_COMPLETE_PFA_7D,COLL_COMPLETE_PFA_14D,over_max_year,is_removed
METER_000001,MFR_C,01,4.483689821600382,13.849757708017522,0,20.980984099514572,0.4951945065774829,0.049186709285343584,19.89411734394317,0.41726049234487983,18.07631924639935,-48.7062903,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.7393399945366796,0.7874867211477856,0.9167487092112592,0.01293446468946835,0,0,0.07346485108312126,0,0,0.12576269807290513,0,0,0.7294189663244173,0,0,0.7928439028662022,0,0,0.503791055842632,0,0,0.8948185416058935,0,0,0.8591375324752658,0,0,0.9502077803837828,0,0,0.8440553166537261,0.8197755497013062,0.8585483530809696,0,0
METER_000002,MFR_E,02,3.9949451547768393,27.46730783320983,0,27.92995884489391,0.9988509196391097,0.013894552260271423,28.701577103659403,0.9829395509814403,61.69417184772622,51.98001018816506,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0.9531876328423066,0.9421462641838145,,0.01652722362331728,0,4.058843181975403e-05,0.08426309886906272,0,0.14814898240419647,0.0018096504456968665,0,0.27872756354472755,0.9598154271964552,0,0.9577656980765009,0.9972717709105278,0,0.9024934496734779,0.872869199073584,0,0.9193876367753256,0.9581249256225716,0,0.9994847293519599,1,0,1,0.7979925652979544,0,1,0.8983243000709286,0.8797072260045231,0.9660566773839778,0,0
METER_000003,MFR_D,03,2.1138469500343207,16.54119717586699,0,31.531402378641015,2.9444276639366094,0.06175117759689838,29.941974822115604,2.9860003794105383,205.00654251671105,-22.01109874,2,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0.9128001996422004,0.9944883285563921,0.8597687898318027,0.0356843175346159,0.12888428111650863,0.06888885658459387,0.21866064545150632,0.24818331206695377,0.0794151479482282,0.03998605147484038,0.1924475726776474,0.037718737339931384,0.8827079531194303,0.8539200335398184,0.901915804476351,0.881872384164522,0.8266735272629008,0.8822246944166765,0.9965726847462686,0.87509860609895,0.9077823361155584,0.8904083489722865,0.8975101588245572,0.9950905790288452,0.8551892638716263,0.889154799079865,1,1,0.8970563457758945,1,0.9590360371076665,0.9742524553837875,1,0,0
METER_000004,MFR_C,01,7.287200041217855,1.7395566371210385,0,18.865421618523797,0.18663671296959458,0.01833486496173294,20.214960968462062,0.02120926186109079,38.56542162487969,-27.9764168,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.7581527061592023,0.8795062873726409,0.6972761321002903,0.033328777163939526,0,0,0.06457484824506436,0,0,0.2816595679578968,0,0,0.9086208427128135,0,0,0.9481298303342256,0,0,0.8586344918132245,0,0,0.96334173075716,0,0,0.8998087905244809,0,0,0.8913735068114363,0,0,0.9054740278101993,1,0.8638854327423537,0,0
METER_000005,MFR_B,03,5.719489926103547,4.105587325391214,0,33.561538641834616,0.12830042342125925,0.022221105278132106,33.2937196647324,0.3498978571615349,11.11579535732551,21.144724524789076,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0.730709437340028,0.8473813079338157,,0.026462444760808727,0.10358088507356662,0.13028389644688967,0.046657793164064765,0.024751455013204048,0.11384545594662467,0.010541854435761151,0.023120039333314895,0.01692184839628649,0.9819283115255967,0.984940330930783,0.9939400113331229,,0.8744785623733742,1,0.9826406340211186,1,1,0.9865661961986872,0.7393820006150026,0.9586482848670445,0.9883599923153921,0.7255774875872593,0.9607874118001409,1,0.751722403845605,0.9625367443823099,0.8361640402538991,0.875661362790493,0.8410987323290431,0,0
METER_000006,MFR_B,01,10.388411907888043,4.952008549644206,0,24.35724482807435,0.03396076463112242,0.03310023388652107,25.079819720741956,-0.008472515,73.9637995571243,5.375537197591519,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0.9669314248511461,0.8748098469463814,0.9573281251473937,0.03538038718663528,0,0,0.052456746928360366,0,0,0.02049710597436935,0,0,0.982980957538745,0,0,0.9369235489500056,0,0,1,0,0,0.9042331658736401,0,0,0.9964468549932195,0,0,0.7973588968707187,0,0,0.9970535470740628,0.9771535712026961,0.883225726411763,1,1
METER_000007,MFR_A,03,0.38531496578469904,5.964462119542995,0,20.12489307530743,0.45229465539183256,0.008253644577569266,20.224006283966755,0.6861211572986822,57.89879229236733,18.992397939282657,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5982121959441363,0.6984329983610221,0.8947058705013851,0.35010599716290397,0.11522838512049506,0.07743917298672659,0.004632693474054602,0.0084749718197271,0.07770937373436003,0.08552931370712914,0.09868550491443127,0.06015435265945463,0.9525184661277748,0.8737709459044005,0.8631714561358091,0.9720826441148895,0.8867765702034024,0.856134960481681,0.9011006876973745,0.92258677089772,0.7294432166542619,0.8826032122706502,0.8524013110494566,0.9787467971719848,0.8669136244399547,0.8340382348362811,0.8725311867111634,0.8957222122277998,0.8145137643133231,0.960731720841855,0.713492508220372,0.7125635724706388,0.7207271315820488,0,0
METER_000008,MFR_E,03,7.7264151306615165,16.666740319088518,0,28.788773901040916,0.41192866759286423,0.011940636147208925,29.795318813431695,0.7145057916969428,26.07670598335498,-6.5904019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7133919126482272,0.9437506839040479,0.7634002890031938,0.0929444110613204,0.03365043953306405,0.0070831370656917,0.26480013638834304,0.06862665176368991,0.051556508916780604,0.05365057824522431,0.08858353804000965,0.021251407533591886,0.9553403026259806,0.9440652571813518,0.9958399402797052,1,0.9850617974910258,0.9577616054850503,1,0.916885469786872,0.9527499519605676,0.9643618540634048,0.9158590579552653,0.878158123557515,0.9442276134324737,0.9917869046685526,0.9035595934385431,0.8553571536432042,0.9342695607367234,0.8163116372994725,0.9781432314735163,1,0.9443928498515758,0,0
METER_000009,MFR_D,01,11.33326105800856,35.631422657054244,1,22.76772760872476,0.56355800254007,0.07265986374031286,22.814439569334613,0.5070956093190329,236.03755127717804,1.3031207717908933,0,0,0,1,,0,0,0,1,0,1,1,0,0,1,0.5797696644940181,0.46300120266818817,0.43048763993759004,0.06592224906922606,0,0,0.13024774994695595,0,0,0.1799574000004892,0,0,0.8113591946781407,0,0,0.7713948698642964,0,0,0.803873054404948,0,0,0.8066358949854855,0,0,0.7666026109094677,0,0,0.7235634832386991,0,0,0.9784457367069119,1,0.9775150590702016,1,1
METER_000010,MFR_D,02,9.113838830259684,4.542028426279813,0,24.59131661984253,0.6997892521219777,0.021980629920333585,27.320245995049373,0.3506862527183562,92.05164932912278,-14.82153065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9520427351011599,0.753282125692273,0.7055030175776426,0.20142469699074553,0,0.14729965628642477,0.019631252882159396,0,0.09843219606188375,0.022201514570608323,0,0.023930873497549465,0.8958225186668687,0,0.921839848204257,0.9604341489272297,,0.9155848343812629,0.7903997636287294,0,0.8867082002095794,0.9885884588482295,0,0.9088547449244746,0.9892545986604617,0,0.8824140640007574,0.9046234578200351,0,0.9323447997088442,0.8735766559864458,0.8737052173787282,0.7066519378773505,1,1
