TMNL_DEV_ID,SIG_STR,ONOFF_NUM,FLOW_STAT,OFFSET_TIME,METER_NET_RATE,CUST_NUM_FLAG,RUN_YEARS,COLL_FAIL_RATE_7D,ONLINE_DUR,MSG_TIME,TEMP_ERR_RATE,METER_FAIL_RATE,RMT_CHN_FLAG,FLOW_FLAG,POWEROFF_FLAG,CLOCK_FLAG,TMNL_NET_FLAG,VER_FLAG,TASK_FLAG,TMNLTASK_FLAG,OLD_FLAG,STORAGE_FLAG,NO_COMM_FLAG,ENV_FLAG,CARRIER_FLAG
996000020707007,0,10,0.06,0,0.0,1,7.11,0.14,0.0,0,0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0
996000021190661,-73,1,0.03,4,0.0,1,3.35,0.0,0.02,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
996000021235857,0,0,0.0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0
996000020832692,-77,2,0.36,0,0.0,1,2.0,0.29,0.01,0,0,0.02,0,0,0,0,0,0,0,1,0,0,0,0,0
996000021378692,0,1,0.1,3,0.0,1,1.85,0.14,0.02,0,0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0
996000021323750,20,2,1.11,2,10.26,1,2.05,1.0,0.0,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0
996000021339624,0,0,1.98,4,0.0,1,2.7,0.0,0.08,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0
996000021252078,0,0,0.0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0
6524091900002367,-51,0,0.21,12,0.0,1,0.76,0.0,0.02,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0
6525062000020487,0,0,0.0,0,0.0,1,0.07,1.0,0.0,0,0,1.0,0,0,0,0,0,1,0,1,0,1,0,0,1
996000021091017,0,0,0.0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0
996000020961736,0,0,0.0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0
996000021322397,28,0,1.36,2,0.0,1,2.7,0.0,0.06,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
996000021093168,-71,1,0.03,4,0.0,1,1.51,0.0,0.01,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
996000021317654,30,0,0.25,1,0.0,1,2.67,1.0,0.01,0,0,0.03,0,0,0,0,1,0,0,1,0,0,0,0,0
996000021394647,0,0,0.0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
6524091900005321,0,0,2.11,1,0.0,1,1.54,0.0,0.01,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0
996000021279222,0,0,0.0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0
996000021372386,0,1,0.1,3,0.0,1,2.54,0.14,0.0,0,0,1.0,0,0,1,0,0,1,1,0,0,0,0,0,0
996000021092993,0,0,0.0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0
996000021349214,0,0,1.98,0,0.0,1,2.65,0.0,0.04,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0
6524083000009262,-55,0,2.1,7,0.0,1,1.61,0.0,0.01,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0
996000021322845,31,0,1.59,1,0.0,1,2.02,0.0,0.07,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
996000021349477,-75,0,1.99,5,0.0,1,2.56,0.0,0.01,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0
6525032400009918,23,0,2.21,0,0.0,1,0.9,0.0,0.01,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
6525062000020487,0,0,0.0,0,0.0,1,0.06,1.0,0.0,0,0,1.0,0,0,0,0,0,1,0,1,0,1,0,0,1
6524083000012366,0,0,2.1,1,0.0,1,1.59,0.0,0.01,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0
996000021190583,0,0,0.0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0
6524051400016314,-79,0,0.0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0
6524070900009253,-51,0,0.26,11,0.0,1,0.76,0.0,0.0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0
6524053000006390,0,0,1.09,6,0.0,1,1.66,0.0,0.01,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
6524062000032997,0,0,2.81,2,0.0,1,0.04,0.0,0.02,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
996000021134832,20,0,2.18,1,18.88,1,4.48,1.0,0.01,0,0,0.01,0,1,0,0,1,1,0,0,0,0,0,0,0
996000020823381,0,1,0.11,1,0.0,1,6.13,0.14,0.01,0,0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0
6525032000015737,22,2,1.04,2,0.0,1,0.77,0.14,0.01,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
996000021322499,21,0,0.65,2,7.32,1,2.23,1.0,0.07,0,0,0.78,0,0,0,0,1,0,0,0,0,0,0,0,0
6525062000020487,0,0,0.0,0,0.0,1,0.07,1.0,0.0,0,0,1.0,0,0,0,0,0,1,0,1,0,1,0,0,1
6525032400008780,22,1,1.96,1,60.0,1,0.74,0.0,0.02,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
996000020742744,0,0,0.0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0
996000021375336,-63,0,0.03,12,0.0,1,1.86,0.0,0.02,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
996000021021368,-88,17,0.02,4,0.0,1,5.25,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
996000021324027,31,0,1.2,2,0.0,1,2.55,0.14,0.05,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
996000020922637,0,18,0.05,0,0.0,1,6.06,0.0,0.02,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
996000021190366,0,0,0.03,11,0.0,1,3.81,0.0,0.08,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
996000021252256,0,0,0.03,0,0.0,1,2.75,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0
6524091900003320,0,0,2.1,8,0.0,1,1.14,0.0,0.02,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0
