user_id,stat_date,measure_point_id,meter_id,expected_points,actual_points,completeness
USR00001,2026-05-22,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-21,MP000183,MTR000183,96,92,0.961
USR00001,2026-05-20,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-19,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-18,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-17,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-16,MP000183,MTR000183,96,95,0.9877
USR00001,2026-05-15,MP000183,MTR000183,96,95,0.9853
USR00001,2026-05-14,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-13,MP000183,MTR000183,96,94,0.9816
USR00001,2026-05-12,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-11,MP000183,MTR000183,96,94,0.9789
USR00001,2026-05-10,MP000183,MTR000183,96,90,0.9344
USR00001,2026-05-09,MP000183,MTR000183,96,92,0.9535
USR00001,2026-05-08,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-07,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-06,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-05,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-04,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-03,MP000183,MTR000183,96,93,0.967
USR00001,2026-05-02,MP000183,MTR000183,96,96,1.0
USR00001,2026-05-01,MP000183,MTR000183,96,96,0.9954
USR00001,2026-04-30,MP000183,MTR000183,96,93,0.973
USR00001,2026-04-29,MP000183,MTR000183,96,96,1.0
USR00001,2026-04-28,MP000183,MTR000183,96,95,0.9927
USR00001,2026-04-27,MP000183,MTR000183,96,93,0.9721
USR00001,2026-04-26,MP000183,MTR000183,96,95,0.985
USR00001,2026-04-25,MP000183,MTR000183,96,96,1.0
USR00001,2026-04-24,MP000183,MTR000183,96,96,1.0
USR00001,2026-04-23,MP000183,MTR000183,96,96,0.9959
USR00002,2026-05-22,MP000600,MTR000600,96,90,0.9374
USR00002,2026-05-21,MP000600,MTR000600,96,96,1.0
USR00002,2026-05-20,MP000600,MTR000600,96,96,1.0
USR00002,2026-05-19,MP000600,MTR000600,96,96,1.0
USR00002,2026-05-18,MP000600,MTR000600,96,88,0.9122
USR00002,2026-05-17,MP000600,MTR000600,96,94,0.9816
USR00002,2026-05-16,MP000600,MTR000600,96,94,0.9766
USR00002,2026-05-15,MP000600,MTR000600,96,96,1.0
USR00002,2026-05-14,MP000600,MTR000600,96,93,0.9669
USR00002,2026-05-13,MP000600,MTR000600,96,93,0.9735
USR00002,2026-05-12,MP000600,MTR000600,96,96,0.999
USR00002,2026-05-11,MP000600,MTR000600,96,92,0.9572
USR00002,2026-05-10,MP000600,MTR000600,96,92,0.9632
USR00002,2026-05-09,MP000600,MTR000600,96,95,0.9862
USR00002,2026-05-08,MP000600,MTR000600,96,96,1.0
USR00002,2026-05-07,MP000600,MTR000600,96,96,1.0
USR00002,2026-05-06,MP000600,MTR000600,96,96,1.0
USR00002,2026-05-05,MP000600,MTR000600,96,94,0.9823
USR00002,2026-05-04,MP000600,MTR000600,96,96,1.0
USR00002,2026-05-03,MP000600,MTR000600,96,89,0.9282
USR00002,2026-05-02,MP000600,MTR000600,96,96,1.0
USR00002,2026-05-01,MP000600,MTR000600,96,96,1.0
USR00002,2026-04-30,MP000600,MTR000600,96,95,0.9941
USR00002,2026-04-29,MP000600,MTR000600,96,96,1.0
USR00002,2026-04-28,MP000600,MTR000600,96,94,0.9793
USR00002,2026-04-27,MP000600,MTR000600,96,94,0.9741
USR00002,2026-04-26,MP000600,MTR000600,96,92,0.9621
USR00002,2026-04-25,MP000600,MTR000600,96,94,0.9789
USR00002,2026-04-24,MP000600,MTR000600,96,96,0.9971
USR00002,2026-04-23,MP000600,MTR000600,96,95,0.993
USR00003,2026-05-22,MP000488,MTR000488,96,96,0.9998
USR00003,2026-05-21,MP000488,MTR000488,96,91,0.9521
USR00003,2026-05-20,MP000488,MTR000488,96,96,1.0
USR00003,2026-05-19,MP000488,MTR000488,96,92,0.9601
USR00003,2026-05-18,MP000488,MTR000488,96,94,0.98
USR00003,2026-05-17,MP000488,MTR000488,96,96,1.0
USR00003,2026-05-16,MP000488,MTR000488,96,96,1.0
USR00003,2026-05-15,MP000488,MTR000488,96,92,0.9534
USR00003,2026-05-14,MP000488,MTR000488,96,94,0.9744
USR00003,2026-05-13,MP000488,MTR000488,96,91,0.9523
USR00003,2026-05-12,MP000488,MTR000488,96,96,1.0
USR00003,2026-05-11,MP000488,MTR000488,96,96,1.0
USR00003,2026-05-10,MP000488,MTR000488,96,92,0.9601
USR00003,2026-05-09,MP000488,MTR000488,96,96,1.0
USR00003,2026-05-08,MP000488,MTR000488,96,96,1.0
USR00003,2026-05-07,MP000488,MTR000488,96,94,0.977
USR00003,2026-05-06,MP000488,MTR000488,96,90,0.9373
USR00003,2026-05-05,MP000488,MTR000488,96,93,0.9646
USR00003,2026-05-04,MP000488,MTR000488,96,94,0.9789
USR00003,2026-05-03,MP000488,MTR000488,96,96,1.0
USR00003,2026-05-02,MP000488,MTR000488,96,95,0.9932
USR00003,2026-05-01,MP000488,MTR000488,96,93,0.9666
USR00003,2026-04-30,MP000488,MTR000488,96,96,1.0
USR00003,2026-04-29,MP000488,MTR000488,96,92,0.9579
USR00003,2026-04-28,MP000488,MTR000488,96,96,1.0
USR00003,2026-04-27,MP000488,MTR000488,96,93,0.9674
USR00003,2026-04-26,MP000488,MTR000488,96,93,0.9718
USR00003,2026-04-25,MP000488,MTR000488,96,96,1.0
USR00003,2026-04-24,MP000488,MTR000488,96,96,1.0
USR00003,2026-04-23,MP000488,MTR000488,96,96,1.0
USR00004,2026-05-22,MP000003,MTR000003,96,93,0.9693
USR00004,2026-05-21,MP000003,MTR000003,96,96,1.0
USR00004,2026-05-20,MP000003,MTR000003,96,96,1.0
USR00004,2026-05-19,MP000003,MTR000003,96,89,0.9223
USR00004,2026-05-18,MP000003,MTR000003,96,95,0.9898
USR00004,2026-05-17,MP000003,MTR000003,96,93,0.9726
USR00004,2026-05-16,MP000003,MTR000003,96,89,0.9295
USR00004,2026-05-15,MP000003,MTR000003,96,91,0.9471
USR00004,2026-05-14,MP000003,MTR000003,96,93,0.9702
USR00004,2026-05-13,MP000003,MTR000003,96,95,0.989
USR00004,2026-05-12,MP000003,MTR000003,96,96,1.0
USR00004,2026-05-11,MP000003,MTR000003,96,96,0.9978
USR00004,2026-05-10,MP000003,MTR000003,96,96,1.0
USR00004,2026-05-09,MP000003,MTR000003,96,95,0.988
USR00004,2026-05-08,MP000003,MTR000003,96,93,0.9661
USR00004,2026-05-07,MP000003,MTR000003,96,94,0.9817
USR00004,2026-05-06,MP000003,MTR000003,96,96,1.0
USR00004,2026-05-05,MP000003,MTR000003,96,96,1.0
USR00004,2026-05-04,MP000003,MTR000003,96,94,0.9828
USR00004,2026-05-03,MP000003,MTR000003,96,92,0.9593
USR00004,2026-05-02,MP000003,MTR000003,96,96,0.9973
USR00004,2026-05-01,MP000003,MTR000003,96,96,1.0
USR00004,2026-04-30,MP000003,MTR000003,96,96,1.0
USR00004,2026-04-29,MP000003,MTR000003,96,93,0.9669
USR00004,2026-04-28,MP000003,MTR000003,96,93,0.9672
