user_id,last_op,last_op_time,result,fail_reason,retry_count
USR00001,停电,2026-05-05 09:00:00,成功,,0
USR00002,正常,2026-04-25 09:00:00,成功,,0
USR00003,正常,2026-05-11 09:00:00,成功,,0
USR00004,正常,2026-05-09 09:00:00,成功,,0
USR00005,复电,2026-05-20 09:00:00,成功,,0
USR00006,复电,2026-05-11 09:00:00,成功,,0
USR00007,停电,2026-05-17 09:00:00,成功,,0
USR00008,复电,2026-05-22 09:00:00,成功,,0
USR00009,正常,2026-05-15 09:00:00,成功,,0
USR00010,停电,2026-05-08 09:00:00,成功,,0
USR00011,停电,2026-05-15 09:00:00,成功,,0
USR00012,复电,2026-05-19 09:00:00,成功,,0
USR00013,正常,2026-05-09 09:00:00,成功,,0
USR00014,正常,2026-05-18 09:00:00,成功,,0
USR00015,正常,2026-05-20 09:00:00,成功,,0
USR00016,正常,2026-04-24 09:00:00,成功,,0
USR00017,复电,2026-05-08 09:00:00,成功,,0
USR00018,正常,2026-04-28 09:00:00,成功,,0
USR00019,复电,2026-05-17 09:00:00,成功,,0
USR00020,停电,2026-05-09 09:00:00,成功,,0
USR00021,复电,2026-05-20 09:00:00,成功,,0
USR00022,停电,2026-05-10 09:00:00,成功,,0
USR00023,复电,2026-04-28 09:00:00,成功,,0
USR00024,复电,2026-04-26 09:00:00,成功,,0
USR00025,复电,2026-05-07 09:00:00,成功,,0
USR00026,正常,2026-05-14 09:00:00,成功,,0
USR00027,停电,2026-04-30 09:00:00,成功,,0
USR00028,停电,2026-05-03 09:00:00,成功,,0
USR00029,停电,2026-05-08 09:00:00,成功,,0
USR00030,停电,2026-05-08 09:00:00,成功,,0
USR00031,复电,2026-05-08 09:00:00,成功,,0
USR00032,复电,2026-05-12 09:00:00,成功,,0
USR00033,复电,2026-05-07 09:00:00,成功,,0
USR00034,复电,2026-05-21 09:00:00,成功,,0
USR00035,复电,2026-05-05 09:00:00,成功,,0
USR00036,复电,2026-05-08 09:00:00,成功,,0
USR00037,复电,2026-05-10 09:00:00,成功,,0
USR00038,停电,2026-05-13 09:00:00,成功,,0
USR00039,复电,2026-05-04 09:00:00,成功,,0
USR00040,复电,2026-05-08 09:00:00,成功,,0
USR00041,正常,2026-05-19 09:00:00,成功,,0
USR00042,正常,2026-05-11 09:00:00,成功,,0
USR00043,停电,2026-05-20 09:00:00,成功,,0
USR00044,停电,2026-05-11 09:00:00,成功,,0
USR00045,复电,2026-05-07 09:00:00,成功,,0
USR00046,停电,2026-05-11 09:00:00,成功,,0
USR00047,停电,2026-05-12 09:00:00,成功,,0
USR00048,正常,2026-05-14 09:00:00,成功,,0
USR00049,正常,2026-05-11 09:00:00,成功,,0
USR00050,停电,2026-05-20 09:00:00,成功,,0
USR00051,复电,2026-04-23 09:00:00,成功,,0
USR00052,复电,2026-05-06 09:00:00,成功,,0
USR00053,停电,2026-05-03 09:00:00,成功,,0
USR00054,复电,2026-05-17 09:00:00,成功,,0
USR00055,停电,2026-04-25 09:00:00,成功,,0
