user_id,tags
USR00001,居民低谷采集
USR00002,居民低谷采集
USR00003,居民低谷采集
USR00004,普通户
USR00005,居民低谷采集
USR00006,普通户
USR00007,居民低谷采集
USR00008,普通户
USR00009,居民低谷采集
USR00010,普通户
USR00011,普通户
USR00012,居民低谷采集
USR00013,居民低谷采集
USR00014,光伏户
USR00015,普通户
USR00016,居民低谷采集
USR00017,居民低谷采集
USR00018,居民低谷采集
USR00019,普通户
USR00020,居民低谷采集
USR00021,普通户
USR00022,光伏户
USR00023,居民低谷采集
USR00024,普通户
USR00025,普通户
USR00026,居民低谷采集
USR00027,普通户
USR00028,光伏户
USR00029,居民低谷采集
USR00030,居民低谷采集
USR00031,居民低谷采集
USR00032,普通户
USR00033,普通户
USR00034,光伏户
USR00035,居民低谷采集
USR00036,普通户
USR00037,居民低谷采集
USR00038,普通户
USR00039,居民低谷采集
USR00040,普通户
USR00041,普通户
USR00042,普通户
USR00043,普通户
USR00044,普通户
USR00045,普通户
USR00046,普通户
USR00047,光伏户
USR00048,普通户
USR00049,普通户
USR00050,普通户
USR00051,普通户
USR00052,普通户
USR00053,普通户
USR00054,普通户
USR00055,普通户
USR00056,普通户
USR00057,普通户
USR00058,光伏户
USR00059,普通户
USR00060,普通户
USR00061,普通户
USR00062,普通户
USR00063,普通户
USR00064,普通户
USR00065,普通户
USR00066,普通户
USR00067,普通户
USR00068,普通户
USR00069,负荷管理特护户
USR00070,普通户
USR00071,普通户
USR00072,普通户
USR00073,普通户
USR00074,普通户
USR00075,普通户
USR00076,光伏户
USR00077,用电异常重点关注
USR00078,普通户
USR00079,普通户
USR00080,普通户
USR00081,普通户
USR00082,光伏户
USR00083,普通户
USR00084,普通户
USR00085,普通户
USR00086,普通户
USR00087,光伏户
USR00088,普通户
USR00089,普通户
USR00090,普通户
USR00091,普通户
USR00092,普通户
USR00093,普通户
USR00094,普通户
USR00095,普通户
USR00096,普通户
USR00097,普通户
USR00098,普通户
USR00099,普通户
USR00100,普通户
USR00101,普通户
USR00102,普通户
USR00103,普通户
USR00104,普通户
USR00105,普通户
USR00106,普通户
USR00107,普通户
USR00108,普通户
USR00109,普通户
USR00110,普通户
USR00111,普通户
USR00112,普通户
USR00113,普通户
USR00114,普通户
USR00115,普通户
USR00116,普通户
USR00117,普通户
USR00118,普通户
USR00119,普通户
USR00120,普通户
USR00121,普通户
USR00122,普通户
USR00123,普通户
USR00124,普通户
USR00125,负荷管理特护户
USR00126,普通户
USR00127,普通户
USR00128,普通户
USR00129,普通户
USR00130,普通户
USR00131,普通户
USR00132,普通户
USR00133,普通户
USR00134,普通户
USR00135,普通户
USR00136,普通户
USR00137,普通户
USR00138,普通户
USR00139,普通户
USR00140,普通户
USR00141,普通户
USR00142,普通户
USR00143,普通户
USR00144,普通户
USR00145,普通户
USR00146,普通户
USR00147,普通户
USR00148,普通户
USR00149,光伏户
USR00150,普通户
USR00151,普通户
USR00152,普通户
USR00153,普通户
USR00154,普通户
USR00155,普通户
USR00156,普通户
USR00157,普通户
USR00158,普通户
USR00159,普通户
USR00160,普通户
USR00161,普通户
USR00162,普通户
USR00163,普通户
USR00164,光伏户
USR00165,普通户
USR00166,普通户
USR00167,普通户
USR00168,普通户
USR00169,普通户
USR00170,普通户
USR00171,普通户
USR00172,普通户
USR00173,普通户
USR00174,普通户
USR00175,普通户
USR00176,普通户
USR00177,普通户
USR00178,普通户
USR00179,普通户
USR00180,普通户
USR00181,普通户
USR00182,普通户
USR00183,普通户
USR00184,普通户
USR00185,普通户
USR00186,普通户
USR00187,普通户
USR00188,普通户
USR00189,普通户
USR00190,普通户
USR00191,普通户
USR00192,普通户
USR00193,普通户
USR00194,普通户
USR00195,普通户
USR00196,普通户
USR00197,普通户
USR00198,普通户
USR00199,普通户
USR00200,普通户
USR00201,普通户
USR00202,普通户
USR00203,普通户
USR00204,普通户
USR00205,普通户
USR00206,普通户
USR00207,普通户
USR00208,普通户
USR00209,普通户
USR00210,普通户
USR00211,普通户
USR00212,用电异常重点关注
USR00213,普通户
USR00214,普通户
USR00215,普通户
USR00216,普通户
USR00217,普通户
USR00218,光伏户
USR00219,普通户
USR00220,普通户
USR00221,普通户
USR00222,普通户
USR00223,普通户
USR00224,普通户
USR00225,普通户
USR00226,普通户
USR00227,光伏户
USR00228,普通户
USR00229,普通户
USR00230,普通户
USR00231,普通户
USR00232,普通户
USR00233,普通户
USR00234,普通户
USR00235,普通户
USR00236,普通户
USR00237,普通户
USR00238,普通户
USR00239,普通户
USR00240,普通户
USR00241,普通户
USR00242,普通户
USR00243,普通户
USR00244,普通户
USR00245,光伏户
USR00246,普通户
USR00247,普通户
USR00248,普通户
USR00249,普通户
USR00250,普通户
USR00251,普通户
USR00252,普通户
USR00253,普通户
USR00254,普通户
USR00255,普通户
USR00256,普通户
USR00257,普通户
USR00258,普通户
USR00259,普通户
USR00260,普通户
USR00261,普通户
USR00262,普通户
USR00263,普通户
USR00264,普通户
USR00265,光伏户
USR00266,普通户
USR00267,光伏户
USR00268,普通户
USR00269,普通户
USR00270,普通户
USR00271,普通户
USR00272,普通户
USR00273,普通户
USR00274,普通户
USR00275,普通户
USR00276,普通户
USR00277,光伏户
USR00278,普通户
USR00279,普通户
USR00280,普通户
USR00281,普通户
USR00282,普通户
USR00283,普通户
USR00284,普通户
USR00285,普通户
USR00286,普通户
