terminal_id,last_heartbeat_at,is_online,offline_days
TERM00001,2026-05-22 12:00:00,True,0
TERM00002,2026-05-22 12:00:00,True,0
TERM00003,2026-05-22 12:00:00,True,0
TERM00004,2026-05-22 12:00:00,True,0
TERM00005,2026-05-22 12:00:00,True,0
TERM00006,2026-05-22 12:00:00,True,0
TERM00007,2026-05-22 12:00:00,True,0
TERM00008,2026-05-22 12:00:00,True,0
TERM00009,2026-05-22 12:00:00,True,0
TERM00010,2026-05-22 12:00:00,True,0
TERM00011,2026-05-22 12:00:00,True,0
TERM00012,2026-05-22 12:00:00,True,0
TERM00013,2026-05-22 12:00:00,True,0
TERM00014,2026-05-22 12:00:00,True,0
TERM00015,2026-05-22 12:00:00,True,0
TERM00016,2026-05-22 12:00:00,True,0
TERM00017,2026-05-22 12:00:00,True,0
TERM00018,2026-05-22 12:00:00,True,0
TERM00019,2026-05-22 12:00:00,True,0
TERM00020,2026-05-22 12:00:00,True,0
TERM00021,2026-05-22 12:00:00,True,0
TERM00022,2026-05-22 12:00:00,True,0
TERM00023,2026-05-22 12:00:00,True,0
TERM00024,2026-05-22 12:00:00,True,0
TERM00025,2026-05-22 12:00:00,True,0
TERM00026,2026-05-22 12:00:00,True,0
TERM00027,2026-05-22 12:00:00,True,0
TERM00028,2026-05-22 12:00:00,True,0
TERM00029,2026-05-22 12:00:00,True,0
TERM00030,2026-05-22 12:00:00,True,0
TERM00031,2026-05-22 12:00:00,True,0
TERM00032,2026-05-22 12:00:00,True,0
TERM00033,2026-05-22 12:00:00,True,0
TERM00034,2026-05-22 12:00:00,True,0
TERM00035,2026-05-22 12:00:00,True,0
TERM00036,2026-05-22 12:00:00,True,0
TERM00037,2026-05-22 12:00:00,True,0
TERM00038,2026-05-22 12:00:00,True,0
TERM00039,2026-05-22 12:00:00,True,0
TERM00040,2026-05-22 12:00:00,True,0
TERM00041,2026-05-22 12:00:00,True,0
TERM00042,2026-05-22 12:00:00,True,0
TERM00043,2026-05-22 12:00:00,True,0
TERM00044,2026-05-22 12:00:00,True,0
TERM00045,2026-05-22 12:00:00,True,0
TERM00046,2026-05-22 12:00:00,True,0
TERM00047,2026-05-22 12:00:00,True,0
TERM00048,2026-05-22 12:00:00,True,0
TERM00049,2026-05-22 12:00:00,True,0
TERM00050,2026-05-22 12:00:00,True,0
TERM00051,2026-05-22 12:00:00,True,0
TERM00052,2026-05-22 12:00:00,True,0
TERM00053,2026-05-22 12:00:00,True,0
TERM00054,2026-05-22 12:00:00,True,0
TERM00055,2026-05-22 12:00:00,True,0
TERM00056,2026-05-22 12:00:00,True,0
TERM00057,2026-05-22 12:00:00,True,0
TERM00058,2026-05-22 12:00:00,True,0
TERM00059,2026-05-22 12:00:00,True,0
TERM00060,2026-05-22 12:00:00,True,0
TERM00061,2026-05-22 12:00:00,True,0
TERM00062,2026-05-22 12:00:00,True,0
TERM00063,2026-05-22 12:00:00,True,0
TERM00064,2026-05-22 12:00:00,True,0
TERM00065,2026-05-22 12:00:00,True,0
TERM00066,2026-05-22 12:00:00,True,0
TERM00067,2026-05-22 12:00:00,True,0
TERM00068,2026-05-22 12:00:00,True,0
TERM00069,2026-05-22 12:00:00,True,0
TERM00070,2026-05-22 12:00:00,True,0
TERM00071,2026-05-22 12:00:00,True,0
TERM00072,2026-05-22 12:00:00,True,0
TERM00073,2026-05-22 12:00:00,True,0
TERM00074,2026-05-22 12:00:00,True,0
TERM00075,2026-05-22 12:00:00,True,0
TERM00076,2026-05-22 12:00:00,True,0
TERM00077,2026-05-22 12:00:00,True,0
TERM00078,2026-05-22 12:00:00,True,0
TERM00079,2026-05-22 12:00:00,True,0
TERM00080,2026-05-22 12:00:00,True,0
TERM00081,2026-05-22 12:00:00,True,0
TERM00082,2026-05-22 12:00:00,True,0
TERM00083,2026-05-22 12:00:00,True,0
TERM00084,2026-05-22 12:00:00,True,0
TERM00085,2026-05-22 12:00:00,True,0
TERM00086,2026-05-22 12:00:00,True,0
TERM00087,2026-05-22 12:00:00,True,0
TERM00088,2026-05-22 12:00:00,True,0
TERM00089,2026-05-22 12:00:00,True,0
TERM00090,2026-05-22 12:00:00,True,0
TERM00091,2026-05-22 12:00:00,True,0
TERM00092,2026-05-22 12:00:00,True,0
TERM00093,2026-05-22 12:00:00,True,0
TERM00094,2026-05-22 12:00:00,True,0
TERM00095,2026-05-22 12:00:00,True,0
TERM00096,2026-05-22 12:00:00,True,0
TERM00097,2026-05-22 12:00:00,True,0
TERM00098,2026-05-22 12:00:00,True,0
TERM00099,2026-05-22 12:00:00,True,0
TERM00100,2026-05-22 12:00:00,True,0
TERM00101,2026-05-22 12:00:00,True,0
TERM00102,2026-05-22 12:00:00,True,0
TERM00103,2026-05-22 12:00:00,True,0
TERM00104,2026-05-22 12:00:00,True,0
TERM00105,2026-05-22 12:00:00,True,0
TERM00106,2026-05-22 12:00:00,True,0
TERM00107,2026-05-22 12:00:00,True,0
TERM00108,2026-05-22 12:00:00,True,0
TERM00109,2026-05-22 12:00:00,True,0
TERM00110,2026-05-22 12:00:00,True,0
TERM00111,2026-05-22 12:00:00,True,0
TERM00112,2026-05-22 12:00:00,True,0
TERM00113,2026-05-22 12:00:00,True,0
TERM00114,2026-05-22 12:00:00,True,0
TERM00115,2026-05-22 12:00:00,True,0
TERM00116,2026-05-22 12:00:00,True,0
TERM00117,2026-05-22 12:00:00,True,0
TERM00118,2026-05-22 12:00:00,True,0
TERM00119,2026-05-22 12:00:00,True,0
TERM00120,2026-05-22 12:00:00,True,0
